
Jetpack	ROCKETMAN / YECGAA
Helicóptero de ataque (Hunter)	OHDUDE
Tanque de combate (Rinho)	AIWPRTON
Jet / caza (Hydra)	JUMPJET
Paracaídas	AIYPWZQP
Camión de gasolina (Tanker)	AMOMHRER
Bulldozer (dozer)	EEGCYXT / ITSALLBULL
Ranchera	JQNTDMH
Carrito de golf (caddy)	RZHSUEW
Coche de carreras (Hotring racer verde)	PDNEJOH / VROCKPOKEY
Coche de carreras (Hotring racer azul)	VPJTQWV
Coche de competición (Bloodring Banger)	OLDSPEEDDEMON / CQZIJMB
Limusina (strech)	CELEBRITYSTATUS / KRIJEBR
Coche fúnebre (Romero)	AQTBCODX / WHERESTHEFUNERAL
Camión de la basura (Trashmaster)	UBHYZHQ / TRUEGRIME
Quad de playa	AKJJYGLC / FOURWHEELFUN
Monster truck americano	AGBDLCID / MONSTERMASH
Avioneta de acrobacias	URKQSRK
Hovercraft (Vortex)	KGGGDKP
Nitro para todos los coches	COXEFGU / SPEEDFREAK
Nitro y salto para todos los taxis	VKYPQCF
Giro perfecto y salto	PGGOMOY / STICKLIKEGLUE
Coches voladores	BUBBLECARS
Barcos voladores	AFSNMSMW
Coches modo tanque	JCNRUAD
Conducir sobre el agua	GKPNMQ
Explotar todos los coches	CPKTNWT
Los coches flotan	BSXSGGC
Coches invisibles	GKPNMQ.XICWMD / WHEELSONLYPLEASE


Salud, dinero y armas

Gana 250.000 dólares	HESOYAM
Blindaje máximo	HESOYAM
Vida completa	HESOYAM

Vida ilimitada	BAGUVIX
Suicidarse	GOODBYECRUELWORLD / SZCMAWO
kjkszpj
Pack de armas 1 (Uzi, Bate de Béisbol, AK-47, Cóctel Molotov, Rifle, Pistola 9mm, Puño Americano y Escopeta)	LXGIWYL
Pack de armas 2 (Motosierra, Subfusil, Rifle M4, Mochila de explosivos C4, Bazooka, Escopeta de asalto SPAS 12 y Pistola con Silenciador)	KJKSZPJ / PROFESSIONALSKIT
Pack de armas 3 (Lanzallamas, Desert Eagle, granadas explosivas, Tec 9, M4, navaja, escopeta recortada, PSG-1 y extintor)	UZUMYMW
Munición ilimitada	WANRLTW / FULLCLIP
Habilidades, cambiar características y poderes especiales

Habrás visto miles de vídeos donde se hacen burradas en GTA y te habrás preguntado cómo hacen todas esas cosas. A continuación tienes la respuesta a tus dudas. Si utilizas estos trucos puedes conseguir el Nivel asesino en armas o hacer saltos increíbles con la bicicleta. Desde aquí también puedes cambiar ligeramente el aspecto de CJ y reclutar peatones.
	Combinación de teclas
Modo adrenalina	MUNASEF
Sex-appeal al máximo	HELLOLADIES
Máximo nivel de las armas	PROFESSIONALKILLER / NCSGDAG
Buceo ilimitado	CVWKXAM
Mega puñetazos	IAVENJQ / STINGLIKEABEE
Ser muy gordo	BTCDBCB
Ser muy delgado	KVGYZQK
Ser muy fuerte	JYSDSOD / BUFFMEUP
Sin hambre	AEDUWNV
Súper saltos	JHJOECW
Súper saltos con la BMX	CJPHONEHOME
Habilidad de conducción al máximo	NATURALTALENT
Disparar mientras conduces	OUIQDMW
Reclutar peatones con 9mm	SJMAHPE
Reclutar peatones con lanzacohetes	ZSOXFSQ / ROCKETMAYHEM
Respeto al máximo	WORSHIPME
Fiesta de playa	CIKGCGX
Niveles de búsqueda, clima y más

Y para tener mayor libertad de movimiento, puedes esquivar a la policía eliminando el nivel de búsqueda. Pero si por el contrario buscas persecuciones, puedes aumentarlo al máximo (6 estrellas) y recorrer la ciudad zafándote de ellos. Los trucos del clima y el tiempo también son muy útiles, así que prueba a utilizarlos.
	Combinación de teclas
Nivel máximo de búsqueda	BRINGITON
Aumentar el nivel de búsqueda de la policía	OSRBLHH / TURNUPTHEHEAT
Quitar el nivel de búsqueda de la policía	ASNAEB / TURNDOWNTHEHEAT
La policía nunca va a buscarte	AEZAKMI / TESTEDUCATIONALSKILLS
Ralentizar el reloj	SLOWITDOWN
Acelerar el reloj	YSOHNUL
Cámara rápida	SPEEDITUP / PPGWJHT
Cambiar a tiempo soleado	AFZLLQLL
Cambiar a un poco nublado	ALNSFMZO
Cielo naranja, reloj parado a las 21:00	OFVIAC
Siempre es medianoche	XJVSNAJ / NIGHTPROWLER
Mucho calor	ICIKPYH
Mucha niebla	CFVFGMJ
Lluvia y tormenta	AUIFRVQS / MGHXYRM
Tormenta de arena	CWJXUOC
